game_id,final_score_margin,winning_team
20800697,17,home
20800698,3,home
20800699,13,home
20800700,-11,away
20800701,14,home
20800702,8,home
20800703,-23,away
20800704,-10,away
20800705,0,away
20800706,-10,away
20800707,-16,away
20800708,24,home
20800709,-9,away
20800710,-8,away
20800711,48,home
20800712,19,home
20800713,0,away
20800714,18,home
20800715,-5,away
20800716,-1,away
20800717,14,home
20800718,7,home
20800719,8,home
20800720,29,home
20800721,-8,away
20800722,-27,away
20800723,3,home
20800724,-5,away
20800725,11,home
20800726,-8,away
20800727,-14,away
20800728,-1,away
20800729,5,home
20800730,12,home
20800731,5,home
20800732,0,away
20800733,28,home
20800734,-5,away
20800735,5,home
20800736,-10,away
20800737,-21,away
20800738,9,home
20800739,9,home
20800740,-21,away
20800741,-4,away
20800742,10,home
20800743,-24,away
20800744,10,home
20800745,44,home
20800746,8,home
20800747,0,away
20800748,17,home
20800749,0,away
20800750,-6,away
20800751,-10,away
20800752,4,home
20800753,17,home
20800754,1,home
20800755,2,home
20800756,4,home
20800757,3,home
20800758,-10,away
20800759,20,home
20800760,21,home
20800761,17,home
20800762,5,home
20800763,12,home
20800764,21,home
20800765,1,home
20800766,-17,away
20800767,-15,away
20800768,-8,away
20800769,5,home
20800770,18,home
20800771,17,home
20800772,7,home
20800773,12,home
20800774,17,home
20800775,-9,away
20800776,4,home
20800777,2,home
20800778,-4,away
20800779,12,home
20800780,-12,away
20800781,12,home
20800782,4,home
20800783,14,home
20800784,0,away
20800785,-2,away
20800786,-7,away
20800787,7,home
20800788,9,home
20800789,0,away
20800790,8,home
20800791,-6,away
20800792,0,away
20800793,-2,away
20800794,26,home
20800795,40,home
20800796,18,home
20800797,13,home
20800798,9,home
20800799,-17,away
20800800,-7,away
20800801,-9,away
20800802,32,home
20800803,-12,away
20800804,15,home
20800805,4,home
20800806,-5,away
20800807,-8,away
20800808,-23,away
20800809,-4,away
20800810,5,home
20800811,-12,away
20800812,30,home
20800813,-9,away
20800814,-7,away
20800815,-11,away
20800816,17,home
20800817,7,home
20800818,-8,away
20800819,22,home
20800820,10,home
20800821,0,away
20800822,6,home
20800823,-31,away
20800824,21,home
20800825,14,home
20800826,13,home
20800827,7,home
20800828,11,home
20800829,-20,away
20800830,21,home
20800831,3,home
20800832,23,home
20800833,29,home
20800834,-3,away
20800835,21,home
20800836,2,home
20800837,4,home
20800838,-38,away
20800839,19,home
20800840,-7,away
20800841,13,home
20800842,15,home
20800843,8,home
20800844,12,home
20800845,18,home
20800846,-14,away
20800847,4,home
20800848,17,home
20800849,10,home
20800850,5,home
20800851,-8,away
20800852,12,home
20800853,-5,away
20800854,-17,away
20800855,3,home
20800856,20,home
20800857,15,home
20800858,1,home
20800859,-7,away
20800860,2,home
20800861,19,home
20800862,26,home
20800863,1,home
20800864,-8,away
20800865,23,home
20800866,8,home
20800867,5,home
20800868,-5,away
20800869,-20,away
20800870,0,away
20800871,11,home
20800872,20,home
20800873,-11,away
20800874,12,home
20800875,-3,away
20800876,-6,away
20800877,5,home
20800878,-7,away
20800879,3,home
20800880,16,home
20800881,13,home
20800882,-5,away
20800883,-10,away
20800884,7,home
20800885,-1,away
20800886,-3,away
20800887,6,home
20800888,-11,away
20800889,18,home
20800890,11,home
20800891,-8,away
20800892,-7,away
20800893,-9,away
20800894,-7,away
20800895,9,home
20800896,-28,away
20800897,16,home
20800898,12,home
20800899,5,home
20800900,-4,away
20800901,-24,away
20800902,10,home
20800903,-8,away
20800904,10,home
20800905,18,home
20800906,6,home
20800907,-4,away
20800908,4,home
20800909,5,home
20800910,22,home
20800911,5,home
20800912,7,home
20800913,2,home
20800914,-23,away
20800915,16,home
20800916,16,home
20800917,7,home
20800918,3,home
20800919,-6,away
20800920,11,home
20800921,17,home
20800922,15,home
20800923,4,home
20800924,22,home
20800925,20,home
20800926,6,home
20800927,4,home
20800928,10,home
20800929,-9,away
20800930,-5,away
20800931,18,home
20800932,16,home
20800933,7,home
20800934,2,home
20800935,-1,away
20800936,-7,away
20800937,-8,away
20800938,5,home
20800939,5,home
20800940,10,home
20800941,15,home
20800942,8,home
20800943,10,home
20800944,4,home
20900001,-6,away
20900002,-11,away
20900003,9,home
20900004,7,home
20900005,11,home
20900006,14,home
20900007,10,home
20900008,33,home
20900009,22,home
20900010,-22,away
20900011,2,home
20900012,13,home
20900013,17,home
20900014,9,home
20900015,-1,away
20900016,-2,away
20900017,7,home
20900018,-3,away
20900019,0,away
20900020,13,home
20900021,11,home
20900022,28,home
20900023,-8,away
20900024,-13,away
20900025,8,home
20900026,-17,away
20900027,-10,away
20900028,5,home
20900029,13,home
20900030,22,home
20900031,-14,away
20900032,19,home
20900033,11,home
20900034,0,away
20900035,4,home
20900036,11,home
20900037,19,home
20900038,-9,away
20900039,-9,away
20900040,10,home
20900041,8,home
20900042,-9,away
20900043,10,home
20900044,8,home
20900045,8,home
20900046,11,home
20900047,6,home
20900048,-17,away
20900049,0,away
20900050,3,home
20900051,12,home
20900052,-18,away
20900053,-31,away
20900054,5,home
20900055,-8,away
20900056,2,home
20900057,0,away
20900058,11,home
20900059,-6,away
20900060,22,home
20900061,11,home
20900062,-4,away
20900063,-28,away
20900064,-12,away
20900065,-2,away
20900066,0,away
20900067,0,away
20900068,-8,away
20900069,8,home
20900070,-1,away
20900071,14,home
20900072,20,home
20900073,16,home
20900074,7,home
20900075,3,home
20900076,-7,away
20900077,8,home
20900078,-15,away
20900079,-17,away
20900080,-9,away
20900081,11,home
20900082,-28,away
20900083,16,home
20900084,12,home
20900085,25,home
20900086,-10,away
20900087,3,home
20900088,28,home
20900089,15,home
20900090,-5,away
20900091,3,home
20900092,7,home
20900093,-12,away
20900094,28,home
20900095,23,home
20900096,13,home
20900097,16,home
20900098,-4,away
20900099,-2,away
20900100,7,home
20900101,41,home
20900102,-28,away
20900103,-12,away
20900104,14,home
20900105,-1,away
20900106,-14,away
20900107,18,home
20900108,3,home
20900109,14,home
20900110,10,home
20900111,19,home
20900112,23,home
20900113,-3,away
20900114,-13,away
20900115,6,home
20900116,-23,away
20900117,-9,away
20900118,25,home
20900119,9,home
20900120,-4,away
20900121,20,home
20900122,-7,away
20900123,19,home
20900124,16,home
20900125,-22,away
20900126,-14,away
20900127,-11,away
20900128,-12,away
20900129,-8,away
20900130,9,home
20900131,26,home
20900132,-15,away
20900133,23,home
20900134,-6,away
20900135,9,home
20900136,-3,away
20900137,4,home
20900138,1,home
20900139,6,home
20900140,10,home
20900141,4,home
20900142,-3,away
20900143,-5,away
20900144,-8,away
20900145,1,home
20900146,-10,away
20900147,0,away
20900148,6,home
20900149,0,away
20900150,6,home
20900151,-13,away
20900152,-8,away
20900153,8,home
20900154,-6,away
20900155,18,home
20900156,-14,away
20900157,13,home
20900158,15,home
20900159,-7,away
20900160,14,home
20900161,2,home
20900162,17,home
20900163,14,home
20900164,15,home
20900165,14,home
20900166,-13,away
20900167,13,home
20900168,0,away
20900169,6,home
20900170,7,home
20900171,-7,away
20900172,15,home
20900173,-10,away
20900174,-5,away
20900175,7,home
20900176,2,home
20900177,-5,away
20900178,19,home
20900179,2,home
20900180,7,home
20900181,14,home
20900182,7,home
20900183,-7,away
20900184,6,home
20900185,-5,away
20900186,8,home
20900187,7,home
20900188,22,home
20900189,19,home
20900190,0,away
20900191,28,home
20900192,-8,away
20900193,0,away
20900194,16,home
20900195,1,home
20900196,26,home
20900197,16,home
20900198,11,home
20900199,14,home
20900200,24,home
20900201,4,home
20900202,11,home
20900203,1,home
20900204,-8,away
20900205,14,home
20900206,-10,away
20900207,10,home
20900208,35,home
20900209,13,home
20900210,3,home
20900211,-1,away
20900212,-10,away
20900213,-13,away
20900214,0,away
20900215,-31,away
20900216,14,home
20900217,15,home
20900218,10,home
20900219,14,home
20900220,-17,away
20900221,19,home
20900222,7,home
20900223,-10,away
20900224,-14,away
20900225,13,home
20900226,-8,away
20900227,-21,away
20900228,18,home
20900229,-8,away
20900230,3,home
20900231,-25,away
20900232,-10,away
20900233,13,home
20900234,-16,away
20900235,16,home
20900236,-2,away
20900237,16,home
20900238,-33,away
20900239,6,home
20900240,10,home
20900241,-19,away
20900242,-7,away
20900243,-12,away
20900244,-9,away
20900245,8,home
20900246,-6,away
20900247,16,home
20900248,19,home
20900249,2,home
20900250,2,home
20900251,27,home
20900252,19,home
20900253,-18,away
20900254,-4,away
20900255,27,home
20900256,28,home
20900257,-7,away
20900258,11,home
20900259,31,home
20900260,17,home
20900261,14,home
20900262,2,home
20900263,-16,away
20900264,7,home
20900265,-2,away
20900266,11,home
20900267,5,home
20900268,-17,away
20900269,-7,away
20900270,18,home
20900271,-2,away
20900272,0,away
20900273,-7,away
20900274,14,home
