,EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING,HOME_TEAM,AWAY_TEAM,HOME_SCORE,AWAY_SCORE,TIME,TEAM,TYPE,SUB_TYPE,ASSIST_PLAYER_ID,ASSIST_COUNT,BLOCK_PLAYER_ID,BLOCK_COUNT,REBOUND_PLAYER_ID,REBOUND_TEAM,REBOUND_OFFENSIVE_COUNT,REBOUND_DEFENSIVE_COUNT,JUMP_BALL_HOME_PLAYER_ID,JUMP_BALL_AWAY_PLAYER_ID,JUMP_BALL_RETRIEVED_PLAYER_ID,SUB_ENTERED_PLAYER_ID,SUB_LEAVING_PLAYER_ID,FREE_THROW_PLAYER_ID,FREE_THROW_NUM,FREE_THROW_TOTAL,FREE_THROW_MADE,FOULED_BY_PLAYER_ID,DRAWN_FOUL_PLAYER_ID,FOUL_COUNT,TEAM_FOUL_COUNT,FOUL_TYPE,TECHNICAL_PLAYER_ID,DOUBLE_TECHNICAL_PLAYER_ID_1,DOUBLE_TECHNICAL_PLAYER_ID_2,DOUBLE_PERSONAL_PLAYER_ID_1,DOUBLE_PERSONAL_PLAYER_ID_2,DOUBLE_PERSONAL_FOUL_COUNT_1,DOUBLE_PERSONAL_FOUL_COUNT_2,COACH_TECHNICAL,SHOT_PLAYER_ID,POINTS_SCORED,TOTAL_POINTS_SCORED,SHOT_MADE,SHOT_TYPE,STEAL_PLAYER_ID,STEAL_COUNT,TURNOVER_PLAYER_ID,TURNOVER_COUNT,TEAM_TURNOVER_COUNT,TURNOVER_TYPE,POSSESSION_ID,PERIOD_START,PERIOD_END,TIMEOUT_TYPE,VIOLATION,VIOLATION_PLAYER_ID,EJECTION,EJECTION_PLAYER_ID,HOME_PLAYER_ID_1,HOME_PLAYER_ID_2,HOME_PLAYER_ID_3,HOME_PLAYER_ID_4,HOME_PLAYER_ID_5,AWAY_PLAYER_ID_1,AWAY_PLAYER_ID_2,AWAY_PLAYER_ID_3,AWAY_PLAYER_ID_4,AWAY_PLAYER_ID_5,HOME_PLAYER_ID_1_PLAY_TIME,HOME_PLAYER_ID_2_PLAY_TIME,HOME_PLAYER_ID_3_PLAY_TIME,HOME_PLAYER_ID_4_PLAY_TIME,HOME_PLAYER_ID_5_PLAY_TIME,AWAY_PLAYER_ID_1_PLAY_TIME,AWAY_PLAYER_ID_2_PLAY_TIME,AWAY_PLAYER_ID_3_PLAY_TIME,AWAY_PLAYER_ID_4_PLAY_TIME,AWAY_PLAYER_ID_5_PLAY_TIME
186,2,7,213,20800003,,,3:31,2,5.0,0,1,2566,Travis Outlaw,POR,Portland,1610612757.0,Trail Blazers,0,,,,,,0,,,,,,,,Outlaw Violation:Defensive Goaltending,11:36 PM,Lakers,Trail Blazers,42,24,1229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Defensive Goaltending,2566.0,,,977,101115,965.0,2209.0,2200.0,200750.0,201141.0,2581.0,200746.0,2566.0,967.0,647.0,713.0,647.0,1051.0,924.0,671.0,747.0,889.0,951.0
187,5,1,212,20800003,Gasol  Layup (15 PTS) (Bryant 5 AST),,3:31,2,4.0,4,0,2200,Pau Gasol,LAL,Los Angeles,1610612747.0,Lakers,977,Kobe Bryant,LAL,Los Angeles,1610612747.0,Lakers,0,,,,,,24 - 44,20,,11:36 PM,Lakers,Trail Blazers,44,24,1229,,,,977.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200.0,,15.0,True,Layup,,,,,,,,,,,,,,,977,101115,965.0,2209.0,2200.0,200750.0,201141.0,2581.0,200746.0,2566.0,967.0,647.0,713.0,647.0,1051.0,924.0,671.0,747.0,889.0,951.0
188,1,2,215,20800003,,,3:16,2,5.0,0,0,2581,Steve Blake,POR,Portland,1610612757.0,Trail Blazers,0,,,,,,0,,,,,,,,MISS Blake 24' 3PT Jump Shot,11:36 PM,Lakers,Trail Blazers,44,24,1244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2581.0,,,False,Shot,,,,,,,,,,,,,,,977,101115,965.0,2209.0,2200.0,200750.0,201141.0,2581.0,200746.0,2566.0,982.0,662.0,728.0,662.0,1066.0,939.0,686.0,762.0,904.0,966.0
189,0,4,216,20800003,Bryant REBOUND (Off:2 Def:6),,3:15,2,4.0,0,0,977,Kobe Bryant,LAL,Los Angeles,1610612747.0,Lakers,0,,,,,,0,,,,,,,,,11:36 PM,Lakers,Trail Blazers,44,24,1245,,,,,,,,977.0,,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,977,101115,965.0,2209.0,2200.0,200750.0,201141.0,2581.0,200746.0,2566.0,983.0,663.0,729.0,663.0,1067.0,940.0,687.0,763.0,905.0,967.0
190,79,1,217,20800003,Bryant 11' Pullup Jump Shot (6 PTS),,3:06,2,4.0,0,0,977,Kobe Bryant,LAL,Los Angeles,1610612747.0,Lakers,0,,,,,,0,,,,,,24 - 46,22,,11:36 PM,Lakers,Trail Blazers,46,24,1254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,977.0,,6.0,True,Shot,,,,,,,,,,,,,,,977,101115,965.0,2209.0,2200.0,200750.0,201141.0,2581.0,200746.0,2566.0,992.0,672.0,738.0,672.0,1076.0,949.0,696.0,772.0,914.0,976.0
191,1,2,218,20800003,,,2:42,2,5.0,0,0,2566,Travis Outlaw,POR,Portland,1610612757.0,Trail Blazers,0,,,,,,0,,,,,,,,MISS Outlaw 17' Jump Shot,11:37 PM,Lakers,Trail Blazers,46,24,1278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2566.0,,,False,Shot,,,,,,,,,,,,,,,977,101115,965.0,2209.0,2200.0,200750.0,201141.0,2581.0,200746.0,2566.0,1016.0,696.0,762.0,696.0,1100.0,973.0,720.0,796.0,938.0,1000.0
192,0,4,219,20800003,Radmanovic REBOUND (Off:1 Def:4),,2:41,2,4.0,0,0,2209,Vladimir Radmanovic,LAL,Los Angeles,1610612747.0,Lakers,0,,,,,,0,,,,,,,,,11:37 PM,Lakers,Trail Blazers,46,24,1279,,,,,,,,2209.0,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,977,101115,965.0,2209.0,2200.0,200750.0,201141.0,2581.0,200746.0,2566.0,1017.0,697.0,763.0,697.0,1101.0,974.0,721.0,797.0,939.0,1001.0
193,1,5,220,20800003,Fisher Bad Pass Turnover (P1.T6),,2:35,2,4.0,5,0,965,Derek Fisher,LAL,Los Angeles,1610612747.0,Lakers,200746,LaMarcus Aldridge,POR,Portland,1610612757.0,Trail Blazers,0,,,,,,,,Aldridge STEAL (1 STL),11:37 PM,Lakers,Trail Blazers,46,24,1285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200746.0,1.0,965.0,1.0,6.0,Pass Turnover,,,,,,,,,977,101115,965.0,2209.0,2200.0,200750.0,201141.0,2581.0,200746.0,2566.0,1023.0,703.0,769.0,703.0,1107.0,980.0,727.0,803.0,945.0,1007.0
194,1,1,221,20800003,,,2:20,2,5.0,5,0,2581,Steve Blake,POR,Portland,1610612757.0,Trail Blazers,2566,Travis Outlaw,POR,Portland,1610612757.0,Trail Blazers,0,,,,,,27 - 46,19,Blake 25' 3PT Jump Shot (3 PTS) (Outlaw 2 AST),11:37 PM,Lakers,Trail Blazers,46,27,1300,,,,2566.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2581.0,,3.0,True,Shot,,,,,,,,,,,,,,,977,101115,965.0,2209.0,2200.0,200750.0,201141.0,2581.0,200746.0,2566.0,1038.0,718.0,784.0,718.0,1122.0,995.0,742.0,818.0,960.0,1022.0
195,1,1,222,20800003,Radmanovic 28' 3PT Jump Shot (5 PTS),,1:58,2,4.0,0,0,2209,Vladimir Radmanovic,LAL,Los Angeles,1610612747.0,Lakers,0,,,,,,0,,,,,,27 - 49,22,,11:37 PM,Lakers,Trail Blazers,49,27,1322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2209.0,,5.0,True,Shot,,,,,,,,,,,,,,,977,101115,965.0,2209.0,2200.0,200750.0,201141.0,2581.0,200746.0,2566.0,1060.0,740.0,806.0,740.0,1144.0,1017.0,764.0,840.0,982.0,1044.0
